Time (hh:mm:ss),Detection confidence (%),Order,Order confidence (%),Family,Family confidence (%),Species (English name),Species (scientific name),Species (4-letter code),Species confidence (%)
00:00:04.10,71.13%,Passeriformes,99.98%,Parulidae,55.59%,other,,,96.93%
00:00:10.02,53.74%,Passeriformes,98.83%,,56.31%,other,,,56.31%
00:00:19.34,55.65%,Passeriformes,96.92%,Passerellidae,82.24%,Savannah sparrow,Passerculus sandwichensis,SAVS,81.27%
00:00:28.37,59.62%,Passeriformes,97.66%,,53.19%,other,,,53.19%
00:00:30.79,64.60%,Passeriformes,98.81%,Passerellidae,64.56%,Savannah sparrow,Passerculus sandwichensis,SAVS,58.97%
00:00:33.11,99.99%,Passeriformes,99.96%,Turdidae,98.42%,Swainson's thrush,Catharus ustulatus,SWTH,50.74%
00:00:34.93,63.11%,Passeriformes,99.60%,Turdidae,83.83%,Swainson's thrush,Catharus ustulatus,SWTH,77.04%
00:00:41.20,62.22%,Passeriformes,99.89%,Turdidae,88.00%,Swainson's thrush,Catharus ustulatus,SWTH,69.85%
00:00:50.18,59.29%,Passeriformes,99.97%,Turdidae,50.04%,other,,,97.78%
00:00:50.38,99.99%,Passeriformes,99.81%,Turdidae,98.83%,Swainson's thrush,Catharus ustulatus,SWTH,62.86%
00:01:01.63,59.82%,Passeriformes,99.88%,Turdidae,98.36%,other,,,75.71%
00:01:04.39,66.25%,Passeriformes,95.07%,Turdidae,84.68%,Swainson's thrush,Catharus ustulatus,SWTH,71.06%
00:01:16.88,99.99%,Passeriformes,99.80%,Turdidae,99.37%,Swainson's thrush,Catharus ustulatus,SWTH,90.80%
00:01:21.27,66.85%,Passeriformes,99.62%,Passerellidae,88.63%,Savannah sparrow,Passerculus sandwichensis,SAVS,65.51%
00:01:21.66,51.00%,Passeriformes,99.92%,Passerellidae,92.16%,other,,,63.69%
00:01:26.89,59.64%,Passeriformes,99.06%,,59.05%,other,,,59.05%
00:01:39.38,99.99%,Passeriformes,99.95%,Turdidae,99.45%,Swainson's thrush,Catharus ustulatus,SWTH,93.83%
00:01:41.89,61.95%,Passeriformes,100.00%,Passerellidae,100.00%,Savannah sparrow,Passerculus sandwichensis,SAVS,100.00%
00:01:42.53,59.95%,Passeriformes,88.68%,Passerellidae,62.03%,Savannah sparrow,Passerculus sandwichensis,SAVS,52.20%
00:01:44.41,99.99%,Passeriformes,99.30%,Passerellidae,87.54%,Savannah sparrow,Passerculus sandwichensis,SAVS,69.71%
00:01:45.99,70.11%,Passeriformes,100.00%,Passerellidae,99.35%,Chipping sparrow,Spizella passerina,CHSP,94.93%
00:01:46.48,51.67%,Passeriformes,95.63%,Passerellidae,86.08%,Savannah sparrow,Passerculus sandwichensis,SAVS,82.89%
00:01:50.38,65.62%,Passeriformes,100.00%,Turdidae,100.00%,Swainson's thrush,Catharus ustulatus,SWTH,99.30%
00:01:51.37,53.97%,Passeriformes,98.59%,,51.57%,other,,,51.57%
00:01:57.78,99.99%,Passeriformes,99.68%,Parulidae,76.13%,other,,,83.87%
00:01:58.27,63.78%,Passeriformes,99.88%,Turdidae,99.45%,Swainson's thrush,Catharus ustulatus,SWTH,78.38%
00:02:08.54,58.22%,Passeriformes,99.82%,Turdidae,83.44%,Swainson's thrush,Catharus ustulatus,SWTH,55.75%
00:02:10.51,99.99%,Passeriformes,99.93%,Turdidae,99.90%,Swainson's thrush,Catharus ustulatus,SWTH,72.31%
00:02:13.22,53.95%,Passeriformes,99.71%,Turdidae,86.16%,Swainson's thrush,Catharus ustulatus,SWTH,66.12%
00:02:13.67,63.58%,Passeriformes,100.00%,Turdidae,100.00%,Swainson's thrush,Catharus ustulatus,SWTH,99.83%
00:02:24.43,51.56%,Passeriformes,100.00%,Turdidae,99.89%,Swainson's thrush,Catharus ustulatus,SWTH,99.95%
00:02:25.41,78.67%,Passeriformes,99.98%,Turdidae,94.23%,Swainson's thrush,Catharus ustulatus,SWTH,84.28%
00:02:25.56,71.03%,Passeriformes,99.99%,Turdidae,99.95%,Swainson's thrush,Catharus ustulatus,SWTH,98.53%
00:02:28.57,55.28%,Passeriformes,99.94%,Turdidae,99.39%,Swainson's thrush,Catharus ustulatus,SWTH,79.86%
00:02:29.85,99.99%,Passeriformes,99.90%,Turdidae,99.52%,Swainson's thrush,Catharus ustulatus,SWTH,93.67%
00:02:30.69,99.99%,Passeriformes,99.86%,Turdidae,96.17%,Swainson's thrush,Catharus ustulatus,SWTH,58.59%
00:02:31.09,71.51%,Passeriformes,100.00%,Turdidae,100.00%,Swainson's thrush,Catharus ustulatus,SWTH,99.92%
00:02:33.85,53.33%,Passeriformes,58.07%,,73.45%,other,,,73.45%
00:02:34.34,99.99%,Passeriformes,100.00%,Turdidae,100.00%,Swainson's thrush,Catharus ustulatus,SWTH,99.95%
00:02:34.69,61.68%,Passeriformes,99.76%,Turdidae,98.30%,Swainson's thrush,Catharus ustulatus,SWTH,86.39%
00:02:37.01,63.45%,Passeriformes,99.73%,Turdidae,97.15%,Swainson's thrush,Catharus ustulatus,SWTH,95.43%
00:02:40.56,57.63%,Passeriformes,99.82%,Turdidae,99.12%,Swainson's thrush,Catharus ustulatus,SWTH,96.96%
